trade_date,signal_date,rank,ticker,희석,entry_KST1830,exit_KST2229,ret_%,net_%,pnl_gross_KRW,pnl_net_KRW,notional_KRW
2026-06-22,2026-06-18,1,NEOV,희석위험,2.7205,2.83,4.02,1.52,40250,15250,1000000
2026-06-22,2026-06-18,2,EXFY,희석진행,1.57,1.61,2.55,0.05,25478,478,1000000
2026-06-23,2026-06-22,1,PYPD,안정,5.09,5.0882,-0.04,-2.54,-354,-25354,1000000
2026-06-23,2026-06-22,2,NVCT,안정,17.2046,15.89,-7.64,-10.14,-76410,-101410,1000000
2026-06-24,2026-06-23,1,BLZE,안정,11.9,11.94,0.34,-2.16,3361,-21639,1000000
2026-06-24,2026-06-23,2,BOLD,안정,2.5032,2.54,1.47,-1.03,14701,-10299,1000000
2026-06-25,2026-06-24,1,SCAG,안정,0.5808,0.6203,6.8,4.3,68010,43010,1000000
2026-06-25,2026-06-24,2,GALT,안정,4.01,3.9309,-1.97,-4.47,-19726,-44726,1000000
2026-06-26,2026-06-25,1,NEXR,?,0.965,0.8699,-9.85,-12.35,-98549,-123549,1000000
2026-06-26,2026-06-25,2,AMS,안정,1.53,1.5,-1.96,-4.46,-19608,-44608,1000000
2026-06-29,2026-06-26,1,WSHP,안정,9.3,7.4496,-19.9,-22.4,-198968,-223968,1000000
2026-06-29,2026-06-26,2,OBIO,안정,4.28,4.24,-0.93,-3.43,-9346,-34346,1000000
2026-06-30,2026-06-29,1,GANX,희석진행,2.0704,1.9801,-4.36,-6.86,-43615,-68615,1000000
2026-06-30,2026-06-29,2,OPENL,안정,0.45,0.3266,-27.42,-29.92,-274222,-299222,1000000
2026-07-01,2026-06-30,2,FCRS,안정,10.24,10.24,0.0,-2.5,0,-25000,1000000
2026-07-02,2026-07-01,1,LHAI,안정,1.9301,1.83,-5.19,-7.69,-51863,-76863,1000000
2026-07-02,2026-07-01,2,ICU,안정,4.71,4.7207,0.23,-2.27,2272,-22728,1000000
2026-07-07,2026-07-06,1,LGPS,안정,0.822,0.8101,-1.45,-3.95,-14477,-39477,1000000
2026-07-08,2026-07-07,1,SKIN,안정,1.04,1.09,4.81,2.31,48077,23077,1000000
2026-07-08,2026-07-07,2,VRXA,?,2.94,3.17,7.82,5.32,78231,53231,1000000
2026-07-09,2026-07-08,1,TVRD,안정,4.53,4.34,-4.19,-6.69,-41943,-66943,1000000
2026-07-09,2026-07-08,2,FRTT,?,1.33,1.26,-5.26,-7.76,-52632,-77632,1000000
2026-07-10,2026-07-09,1,WRAP,안정,2.29,2.3,0.44,-2.06,4367,-20633,1000000
2026-07-10,2026-07-09,2,RYOJ,안정,3.83,3.87,1.04,-1.46,10444,-14556,1000000
2026-07-13,2026-07-10,1,AARD,안정,7.41,7.5,1.21,-1.29,12146,-12854,1000000
2026-07-13,2026-07-10,2,JZXN,안정,1.6403,1.56,-4.9,-7.4,-48954,-73954,1000000
2026-07-14,2026-07-13,1,BRR,안정,1.928,1.84,-4.56,-7.06,-45643,-70643,1000000
2026-07-14,2026-07-13,2,AMWL,안정,11.1,10.98,-1.08,-3.58,-10811,-35811,1000000
2026-07-15,2026-07-14,1,CNEY,안정,0.5712,0.5788,1.33,-1.17,13305,-11695,1000000
2026-07-15,2026-07-14,2,VYNE,안정,0.762,0.7619,-0.01,-2.51,-131,-25131,1000000
