date,ticker,reg_open,reg_close,oc_%,premkt_high_%,early_gain_frac,time_to_high,max_drawdown_%,above_open_%,n_bars,shape
2026-06-09,YOUL,0.388,1.03,165.6,0.0,0.0,1.0,8.2,95.0,37,꾸준우상향
2026-06-02,LASE,1.205,2.43,101.7,58.9,-0.05,0.95,12.2,92.0,39,꾸준우상향
2026-06-01,HKIT,3.195,6.56,105.3,476.4,0.48,0.13,36.9,97.0,39,고점이탈/페이드
2026-06-02,STAK,1.2,1.891,57.6,38.8,0.27,0.97,8.5,100.0,39,꾸준우상향
2026-06-02,RKTO,1.485,2.22,49.5,5.2,-0.09,0.92,6.3,97.0,39,꾸준우상향
2026-06-10,HXHX,0.589,0.857,45.5,29.2,0.13,0.66,16.3,100.0,39,고점이탈/페이드
2026-06-15,QTEX,1.53,2.2,43.8,17.0,0.08,0.74,14.6,92.0,39,꾸준우상향
2026-06-03,FOFO,4.86,6.44,32.5,19.8,-0.01,0.53,24.2,97.0,39,혼합형
2026-06-01,WALD,1.38,1.815,31.5,86.7,0.38,0.66,11.1,97.0,39,꾸준우상향
2026-06-10,SMCZ,9.12,11.41,25.1,9.0,0.0,1.0,3.5,97.0,39,꾸준우상향
