sym,verdict,reason,signals,last_candle,from_low_%,near_base,name
003280.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,14.0,,흥아해운
035250.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,5.0,✔,강원랜드
024110.KS,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",-,29.0,,기업은행
175330.KS,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 위꼬리양봉",-,33.0,,JB금융지주
046390.KQ,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 양봉스프링",양봉스프링,39.0,,삼화네트웍스
030000.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,8.0,✔,제일기획
309930.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,21.0,,조이웍스앤코
091590.KQ,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 양봉스프링",양봉스프링,44.0,,남화토건
330350.KQ,✅ PASS,캔들신호 2종,"위꼬리양봉, 꼬리군",-,28.0,,위더스제약
290560.KQ,✅ PASS,캔들신호 1종,양봉스프링,양봉스프링,38.0,,파라택시스이더리움
475430.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,24.0,,키스트론
000890.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,32.0,,보해양조
006920.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,30.0,,모헨즈
139990.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,7.0,,아주스틸
161000.KS,✅ PASS,캔들신호 1종,위꼬리양봉,-,37.0,,애경케미칼
091440.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,24.0,,한울소재과학
424760.KQ,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 상승다람쥐",도지,41.0,,벨로크
204620.KQ,✅ PASS,캔들신호 2종,"양봉스프링, 작은몸통양꼬리양봉",도지,33.0,,글로벌텍스프리
100130.KQ,✅ PASS,캔들신호 1종,위꼬리양봉,-,23.0,,동국S&C
417500.KQ,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 상승펀치",-,32.0,,제이아이테크
005680.KS,✅ PASS,캔들신호 2종,"위꼬리양봉, 양봉스프링",양봉스프링,48.0,,삼영전자
338220.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,21.0,,뷰노
052460.KQ,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",-,39.0,,아이크래프트
476830.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,9.0,,알지노믹스
464080.KQ,✅ PASS,캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",음봉스프링,36.0,,에스오에스랩
003690.KS,✅ PASS,캔들신호 2종,"작은몸통양꼬리양봉, 상승다람쥐",도지,43.0,,코리안리
079370.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,17.0,,제우스
085660.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,23.0,,차바이오텍
000370.KS,✅ PASS,캔들신호 1종,양봉스프링,-,34.0,,한화손해보험
005250.KS,✅ PASS,캔들신호 1종,양봉스프링,-,18.0,,녹십자홀딩스
006660.KS,✅ PASS,캔들신호 1종,위꼬리양봉,-,5.0,,삼성공조
339770.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,5.0,,교촌에프앤비
212710.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,49.0,,아이에스티이
004020.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,18.0,,현대제철
217190.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,33.0,,제너셈
389260.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,29.0,,대명에너지
263750.KQ,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,35.0,,펄어비스
027410.KS,✅ PASS,캔들신호 1종,위꼬리양봉,-,12.0,,BGF
079160.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,음봉스프링,8.0,,CJ CGV
012610.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,47.0,,경인양행
004990.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,11.0,,롯데지주
138040.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,13.0,,메리츠금융지주
016380.KS,✅ PASS,캔들신호 1종,작은몸통양꼬리양봉,-,12.0,,KG스틸
