sym,verdict,reason,signals,last_candle,base,drop_peak_%,pos_in_base_%,from_low_%,name
309930.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 3종,"위꼬리양봉, 작은몸통양꼬리양봉, 양봉스프링",양봉스프링,베이스(완만),89.0,23.0,0.0,조이웍스앤코
218150.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 상승펀치",-,베이스(완만),85.0,9.0,24.0,미래생명자원
208710.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 3종,"양봉스프링, 작은몸통양꼬리양봉, 상승펀치",작은몸통양꼬리양봉,베이스(완만),94.0,38.0,0.0,포톤
012690.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 작은몸통양꼬리양봉",작은몸통양꼬리양봉,베이스(완만),77.0,4.0,9.0,모나리자
023790.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,꼬리군,-,베이스(완만),89.0,5.0,40.0,동일스틸럭스
009730.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),97.0,2.0,49.0,이렘
039860.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 상승펀치",-,베이스(완만),66.0,12.0,29.0,나노엔텍
299660.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"양봉스프링, 작은몸통양꼬리양봉",작은몸통양꼬리양봉,베이스(완만),98.0,11.0,0.0,셀리드
039980.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,꼬리군,-,베이스(완만),79.0,5.0,21.0,폴라리스AI
079980.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,-,베이스(완만),85.0,14.0,21.0,휴비스
361610.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,도지,베이스(완만),95.0,5.0,12.0,SK아이이테크놀로지
220260.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 양봉스프링",양봉스프링,베이스(완만),83.0,9.0,24.0,켐트로스
086820.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,도지,베이스(완만),57.0,20.0,48.0,바이오솔루션
065350.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 상승펀치",-,베이스(완만),84.0,6.0,28.0,신성델타테크
377190.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,-,베이스근접,64.0,2.0,2.0,디앤디플랫폼리츠
204270.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,양봉스프링,베이스(완만),60.0,11.0,19.0,제이앤티씨
012860.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 양봉스프링",양봉스프링,베이스(완만),68.0,32.0,0.0,모베이스전자
001250.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),56.0,9.0,14.0,GS글로벌
002700.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스근접,60.0,9.0,7.0,신일전자
010960.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),53.0,11.0,11.0,삼호개발
112610.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),58.0,15.0,24.0,씨에스윈드
138360.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),64.0,36.0,0.0,앤로보틱스
100090.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,-,베이스(완만),61.0,10.0,22.0,SK오션플랜트
004100.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),57.0,10.0,17.0,태양금속
066590.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,-,베이스(완만),64.0,26.0,36.0,스모트로닉
290660.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),82.0,19.0,42.0,다이나믹솔루션
025320.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,-,베이스(완만),74.0,7.0,16.0,시노펙스
086390.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 양봉스프링",양봉스프링,베이스(완만),75.0,13.0,38.0,유니테스트
001230.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),63.0,26.0,23.0,동국홀딩스
067630.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),92.0,4.0,26.0,HLB생명과학
319400.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,-,베이스(완만),58.0,42.0,0.0,현대무벡스
270660.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),78.0,14.0,33.0,에브리봇
066980.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),79.0,11.0,18.0,한성크린텍
950160.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,-,베이스(완만),91.0,1.0,13.0,코오롱티슈진
028300.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,작은몸통양꼬리양봉,작은몸통양꼬리양봉,베이스(완만),76.0,9.0,27.0,HLB
298830.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 양봉스프링",양봉스프링,베이스(완만),76.0,8.0,21.0,슈어소프트테크
377480.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,위꼬리양봉,-,베이스(완만),77.0,11.0,30.0,마음AI
025860.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"작은몸통양꼬리양봉, 상승펀치",작은몸통양꼬리양봉,베이스(완만),68.0,3.0,4.0,남해화학
022100.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 3종,"작은몸통양꼬리양봉, 위꼬리양봉, 상승펀치",-,베이스(완만),76.0,9.0,17.0,포스코DX
393890.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 상승펀치",-,베이스(완만),93.0,4.0,14.0,더블유씨피
037440.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),76.0,11.0,16.0,희림
336370.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,양봉스프링,양봉스프링,베이스(완만),89.0,10.0,21.0,솔루스첨단소재
000020.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),78.0,6.0,5.0,동화약품
005010.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),57.0,9.0,13.0,휴스틸
004020.KS,✅✅ PRIME,베이스 후반부 + 캔들신호 1종,상승펀치,-,베이스(완만),52.0,21.0,32.0,현대제철
045390.KQ,✅✅ PRIME,베이스 후반부 + 캔들신호 2종,"위꼬리양봉, 양봉스프링",양봉스프링,베이스(완만),68.0,8.0,15.0,대아티아이
