순위,종목,시장,총점,등급,폭증,당일%,진입,손절,위험%,신호
1,로체시스템즈,KOSDAQ,65.4,B,0.6,3.4,7050,6693,5.1,"작은몸통양꼬리양봉, 상승다람쥐, 상승펀치"
2,삼미금속,KOSDAQ,64.0,B,4.7,-3.5,7920,7366,7.0,"양봉스프링, 작은몸통양꼬리양봉, 위꼬리양봉"
3,넥슨게임즈,KOSDAQ,63.2,B,3.1,3.9,9480,8918,5.9,"양봉스프링, 작은몸통양꼬리양봉"
4,티케이케미칼,KOSDAQ,62.1,B,4.8,9.5,1770,1686,4.7,"작은몸통양꼬리양봉, 위꼬리양봉"
5,우리기술투자,KOSDAQ,59.2,C,2.3,1.2,4915,4635,5.7,"작은몸통양꼬리양봉, 상승다람쥐"
6,동국홀딩스,KOSPI,58.5,C,4.8,4.6,1951,1847,5.3,"작은몸통양꼬리양봉, 위꼬리양봉"
7,성우하이텍,KOSDAQ,56.5,C,1.3,3.1,6270,5782,7.8,"양봉스프링, 위꼬리양봉"
8,ESR켄달스퀘어리츠,KOSPI,51.6,C,1.0,4.6,3290,2911,11.5,양봉스프링
9,휴스틸,KOSPI,51.1,C,0.7,1.4,4035,3567,11.6,"양봉스프링, 위꼬리양봉"
10,모베이스전자,KOSDAQ,49.2,C,1.9,-0.2,2565,2220,13.5,"양봉스프링, 작은몸통양꼬리양봉"
11,엔켐,KOSDAQ,48.9,C,0.8,4.0,24900,17493,29.7,"양봉스프링, 위꼬리양봉"
12,HB테크놀러지,KOSDAQ,48.1,C,0.9,0.5,2140,1833,14.3,"양봉스프링, 작은몸통양꼬리양봉"
13,코오롱생명과학,KOSDAQ,47.9,C,1.8,5.7,18460,14700,20.4,"위꼬리양봉, 작은몸통양꼬리양봉"
14,루닛,KOSDAQ,46.9,C,0.6,0.4,10560,8820,16.5,"양봉스프링, 작은몸통양꼬리양봉"
