종목,시장,판정,폭증,당일%,진입기준가,손절라인,위험%,신호,베이스위치%,상한가추격
조이웍스앤코,KOSDAQ,✅✅ PRIME,20.9,29.9,1103.0,822.2,25.5,"위꼬리양봉, 작은몸통양꼬리양봉, 양봉스프링",23.0,⚠상한가
포톤,KOSDAQ,✅✅ PRIME,12.6,12.0,2230.0,1960.0,12.1,"양봉스프링, 작은몸통양꼬리양봉, 상승펀치",38.0,
이렘,KOSDAQ,✅✅ PRIME,8.7,14.5,1607.0,1435.7,10.7,작은몸통양꼬리양봉,2.0,
셀리드,KOSDAQ,✅✅ PRIME,7.6,1.1,1707.0,1470.0,13.9,"양봉스프링, 작은몸통양꼬리양봉",11.0,
데브시스터즈,KOSDAQ,✅✅ PRIME,6.4,29.5,18460.0,16081.8,12.9,양봉스프링,12.0,⚠상한가
한솔제지,KOSPI,✅✅ PRIME,6.2,1.2,7300.0,6948.2,4.8,상승펀치,31.0,
오브젠,KOSDAQ,✅✅ PRIME,3.7,4.9,7660.0,7036.4,8.1,작은몸통양꼬리양봉,7.0,
코아스,KOSPI,✅✅ PRIME,3.5,30.0,1848.0,1345.5,27.2,"위꼬리양봉, 상승펀치",13.0,⚠상한가
남화산업,KOSDAQ,✅✅ PRIME,3.2,-3.1,2850.0,2587.2,9.2,작은몸통양꼬리양봉,5.0,
휴비스,KOSPI,✅✅ PRIME,2.9,2.4,1979.0,1827.7,7.6,양봉스프링,14.0,
SK아이이테크놀로지,KOSPI,✅✅ PRIME,2.6,1.4,13260.0,12279.4,7.4,상승펀치,5.0,
