순위,종목,시장,총점,등급,폭증,당일%,진입,손절,위험%,신호
1,넥사다이내믹스,KOSDAQ,75.1,A,8.7,2.6,1146,1067,6.9,"양봉스프링, 작은몸통양꼬리양봉, 상승다람쥐"
2,금강공업,KOSPI,68.0,B,28.6,6.2,4480,4092,8.7,"위꼬리양봉, 작은몸통양꼬리양봉"
3,제이씨현시스템,KOSDAQ,66.7,B,9.3,1.8,3170,2955,6.8,"작은몸통양꼬리양봉, 꼬리군"
4,엔투텍,KOSDAQ,65.0,B,40.6,11.3,1391,1241,10.8,위꼬리양봉
5,현우산업,KOSDAQ,64.4,B,6.5,10.8,2780,2494,10.3,"양봉스프링, 위꼬리양봉"
6,삼보모터스,KOSDAQ,62.4,B,30.4,12.0,4570,4023,12.0,위꼬리양봉
7,태경산업,KOSPI,62.2,B,5.6,4.8,4880,4537,7.0,양봉스프링
8,동방선기,KOSDAQ,61.9,B,10.5,10.0,3460,2974,14.0,"작은몸통양꼬리양봉, 상승다람쥐"
9,모트렉스,KOSDAQ,60.4,B,11.8,7.7,5730,5057,11.7,양봉스프링
10,한컴라이프케어,KOSPI,60.1,B,12.9,4.5,1885,1764,6.4,작은몸통양꼬리양봉
11,앤로보틱스,KOSDAQ,54.8,C,16.3,8.3,2135,1897,11.1,작은몸통양꼬리양봉
12,화신,KOSPI,52.7,C,5.9,3.2,9070,7889,13.0,양봉스프링
