sym,date,entry,base,drop_peak_%,r20_%,r60_%,r120_%,r250_%,MFE_%,MAE_%,name
067290.KQ,2023-08-09,2686.5,베이스(완만),55.0,-4.0,-24.4,-29.9,-40.5,3.5,-45.2,JW신약
067290.KQ,2024-11-07,1412.2,베이스(완만),78.0,-9.9,-0.7,5.9,-5.3,20.8,-15.8,JW신약
067290.KQ,2025-05-30,1633.3,베이스(완만),74.0,-3.1,-13.5,-17.3,-16.4,51.8,-23.2,JW신약
004870.KS,2025-05-02,696.0,베이스(완만),61.0,-9.3,-8.0,-31.2,-65.7,10.6,-65.8,티웨이홀딩스
004870.KS,2025-12-15,514.0,베이스(완만),71.0,-8.2,-31.7,-33.9,,5.8,-53.9,티웨이홀딩스
004310.KS,2024-07-23,4740.7,베이스근접,67.0,0.0,-19.0,-26.7,-19.8,21.4,-36.9,현대약품
004310.KS,2025-12-05,5047.3,베이스(완만),66.0,72.3,83.7,9.2,,183.4,9.2,현대약품
198440.KQ,2024-06-05,2150.0,베이스(완만),71.0,-0.7,-25.1,-39.5,-44.9,17.7,-50.9,강동씨앤엘
198440.KQ,2024-07-30,2175.0,베이스(완만),68.0,-26.4,-32.7,-42.6,-38.3,1.8,-51.5,강동씨앤엘
198440.KQ,2025-12-05,1071.0,베이스(완만),82.0,-1.0,-1.9,-10.0,,73.6,-10.0,강동씨앤엘
010170.KQ,2023-09-19,1839.0,베이스(완만),67.0,-24.5,-25.8,-43.4,-45.8,-5.5,-50.3,대한광통신
010170.KQ,2023-11-02,1465.0,베이스(완만),74.0,-8.6,-10.5,-19.2,-30.0,1.0,-37.6,대한광통신
010170.KQ,2024-07-11,1232.0,베이스(완만),78.0,-14.4,-16.2,-34.7,-21.3,-0.2,-62.3,대한광통신
010170.KQ,2025-02-04,1072.0,베이스(완만),84.0,-38.4,-44.7,-13.0,219.0,258.2,-56.7,대한광통신
014910.KS,2025-12-30,1518.0,베이스(완만),63.0,44.3,10.6,,,121.7,-0.9,성문전자
083660.KQ,2025-02-07,1089.0,베이스(완만),82.0,-38.8,7.0,87.3,-68.0,154.4,-68.0,CSA 코스믹
083660.KQ,2026-04-24,331.0,베이스(완만),94.0,-15.4,,,,41.1,-45.6,CSA 코스믹
066980.KQ,2023-11-03,1828.0,베이스(완만),68.0,-11.7,2.0,39.8,-3.4,99.4,-17.6,한성크린텍
066980.KQ,2024-01-17,2090.0,베이스(완만),79.0,52.2,20.1,11.0,-21.6,74.4,-26.8,한성크린텍
066980.KQ,2024-10-14,2320.0,베이스(완만),76.0,-18.1,-23.4,-48.4,-41.9,5.4,-52.7,한성크린텍
066980.KQ,2025-05-07,1566.0,베이스(완만),84.0,-2.0,-19.9,-25.7,-11.7,8.5,-28.0,한성크린텍
066980.KQ,2025-11-11,1566.0,베이스(완만),83.0,-13.8,-20.4,3.1,,50.4,-26.6,한성크린텍
046970.KQ,2024-08-26,1263.0,베이스(완만),59.0,-8.9,1.5,11.5,1.0,40.1,-14.6,우리로
