순위,종목,시장,총점,등급,위치,신호,폭증,리스크,모멘텀,진입,손절,위험%,폭증배,당일%,베이스
1,포톤,KOSDAQ,72.7,B,72.8,95.0,64.8,27.4,100.0,2230.0,1960.0,12.1,12.6,12.0,베이스(완만)
2,조이웍스앤코,KOSDAQ,62.9,B,78.8,85.0,77.7,0.0,25.0,1103.0,822.2,25.5,20.9,29.9,베이스(완만)
3,한솔제지,KOSPI,61.5,B,87.6,35.0,46.6,71.1,64.8,7300.0,6948.2,4.8,6.2,1.2,베이스근접
4,셀리드,KOSDAQ,59.4,C,83.6,60.0,51.8,16.7,64.4,1707.0,1470.0,13.9,7.6,1.1,베이스(완만)
5,이렘,KOSDAQ,57.6,C,87.2,20.0,55.3,36.0,100.0,1607.0,1435.7,10.7,8.7,14.5,베이스(완만)
6,휴비스,KOSPI,55.2,C,82.4,40.0,27.2,54.1,69.6,1979.0,1827.7,7.6,2.9,2.4,베이스(완만)
7,오브젠,KOSDAQ,52.9,C,85.2,20.0,33.4,51.2,79.6,7660.0,7036.4,8.1,3.7,4.9,베이스(완만)
8,데브시스터즈,KOSDAQ,50.4,C,83.2,40.0,47.5,22.7,25.0,18460.0,16081.8,12.9,6.4,29.5,베이스(완만)
9,매드업,KOSDAQ,49.2,C,38.0,60.0,47.8,53.6,52.5,6500.0,5997.6,7.7,6.5,-1.5,데이터부족
10,코아스,KOSPI,48.7,C,82.8,60.0,32.0,0.0,25.0,1848.0,1345.5,27.2,3.5,30.0,베이스(완만)
11,남화산업,KOSDAQ,47.9,C,86.0,20.0,29.7,44.7,44.5,2850.0,2587.2,9.2,3.2,-3.1,베이스(완만)
12,광주신세계,KOSPI,44.4,D,49.6,35.0,30.5,36.7,91.2,37800.0,33810.0,10.6,3.3,7.8,비전형
13,레몬헬스케어,KOSDAQ,35.0,D,38.0,40.0,37.9,0.0,60.0,5350.0,3880.8,27.5,4.4,0.0,데이터부족
14,코칩,KOSDAQ,34.7,D,38.0,25.0,35.4,0.0,100.0,11680.0,9123.8,21.9,4.0,18.2,데이터부족
