순위,종목,시장,총점,등급,폭증,당일%,진입,손절,위험%,신호
1,하이스틸,KOSPI,66.9,B,18.0,1.1,3125,3009,3.7,꼬리군
2,티사이언티픽,KOSDAQ,64.7,B,18.2,10.8,1960,1646,16.0,"작은몸통양꼬리양봉, 상승다람쥐"
3,동일스틸럭스,KOSDAQ,61.4,B,26.9,-0.3,1447,1335,7.7,작은몸통양꼬리양봉
4,DKME,KOSPI,59.4,C,23.4,11.3,1492,1323,11.3,위꼬리양봉
5,카카오뱅크,KOSPI,56.8,C,0.9,0.7,21950,21217,3.3,"작은몸통양꼬리양봉, 상승다람쥐"
6,아리바이오랩,KOSDAQ,55.7,C,2.4,1.5,2635,2386,9.4,"작은몸통양꼬리양봉, 상승펀치"
7,흥국화재,KOSPI,55.5,C,4.3,-6.7,3695,3538,4.2,양봉스프링
8,일승,KOSDAQ,55.2,C,3.8,2.1,3840,3548,7.6,상승펀치
9,인베니아,KOSDAQ,52.2,C,13.2,9.6,1419,1155,18.6,작은몸통양꼬리양봉
10,경남제약,KOSDAQ,51.2,C,6.8,-2.7,1920,1637,14.7,양봉스프링
11,로체시스템즈,KOSDAQ,50.6,C,5.7,13.9,7480,6399,14.5,작은몸통양꼬리양봉
12,펄어비스,KOSDAQ,50.4,C,4.6,11.5,34500,29890,13.4,작은몸통양꼬리양봉
13,한울반도체,KOSDAQ,49.7,C,2.6,-0.8,10000,8820,11.8,양봉스프링
14,원익홀딩스,KOSDAQ,49.2,C,7.9,29.9,22500,17150,23.8,"작은몸통양꼬리양봉, 양봉스프링"
