code,name,market,ratio,last_close,day_chg_%,latest_vol,baseline_vol,trade_value_억
007820,엠엑스로보틱스,KOSDAQ,120.5,4450.0,-3.3,10290428,85401,457.9
388050,지투파워,KOSDAQ,73.2,10440.0,0.1,14085559,192333,1470.5
083420,그린케미칼,KOSPI,54.1,4780.0,0.5,1632002,30151,78.0
214680,디알텍,KOSDAQ,52.1,1155.0,10.5,8630461,165542,99.7
212560,네오오토,KOSDAQ,49.4,12330.0,20.2,3582690,72555,441.7
000430,대원강업,KOSPI,45.2,4085.0,8.9,2630431,58157,107.5
101530,해태제과식품,KOSPI,45.0,5880.0,3.3,1591296,35390,93.6
227950,엔투텍,KOSDAQ,40.6,1391.0,11.3,1749790,43080,24.3
125490,한라캐스트,KOSDAQ,39.0,12590.0,16.3,18477857,473220,2326.4
142210,유니트론텍,KOSDAQ,38.2,6730.0,10.9,4831943,126460,325.2
237880,클리오,KOSDAQ,31.0,14230.0,23.7,1717610,55371,244.4
053700,삼보모터스,KOSDAQ,30.4,4570.0,12.0,4010358,131782,183.3
035290,골드앤에스,KOSDAQ,29.7,2415.0,8.3,1730547,58335,41.8
014280,금강공업,KOSPI,28.6,4480.0,6.2,1104475,38630,49.5
134580,탑코미디어,KOSDAQ,28.5,1989.0,17.8,2468848,86712,49.1
092200,디아이씨,KOSPI,27.2,6580.0,25.3,6495143,238923,427.4
066430,아이로보틱스,KOSDAQ,24.6,2495.0,13.9,17098185,694462,426.6
396300,세아메카닉스,KOSDAQ,20.0,4825.0,15.8,11629962,582497,561.1
049630,재영솔루텍,KOSDAQ,18.3,9030.0,29.9,2961134,161922,267.4
015230,대창단조,KOSPI,16.6,6200.0,6.5,540658,32503,33.5
138360,앤로보틱스,KOSDAQ,16.3,2135.0,8.3,6634723,408288,141.7
010780,아이에스동서,KOSPI,14.9,16730.0,-7.1,581319,39090,97.3
097800,윈팩,KOSDAQ,14.8,2265.0,-6.0,723543,48908,16.4
001210,금호전기,KOSPI,13.5,6490.0,-5.8,23749871,1758465,1541.4
372910,한컴라이프케어,KOSPI,12.9,1885.0,4.5,1061060,82457,20.0
118990,모트렉스,KOSDAQ,11.8,5730.0,7.7,711173,60153,40.8
099410,동방선기,KOSDAQ,10.5,3460.0,10.0,397027,37965,13.7
009900,명신산업,KOSPI,10.5,8120.0,11.8,879902,83923,71.4
007120,미래아이앤지,KOSPI,10.4,1255.0,-8.9,474405,45629,6.0
475580,에이럭스,KOSDAQ,9.9,8280.0,10.1,440338,44620,36.5
445090,에이직랜드,KOSDAQ,9.8,23550.0,12.4,307319,31254,72.4
033320,제이씨현시스템,KOSDAQ,9.3,3170.0,1.8,1088742,117444,34.5
351320,넥사다이내믹스,KOSDAQ,8.7,1146.0,2.6,506189,58147,5.8
319400,현대무벡스,KOSDAQ,8.7,28000.0,10.7,9710142,1117451,2718.8
487580,폴레드,KOSDAQ,8.6,3745.0,3.2,1624782,187993,60.8
036010,아비코전자,KOSDAQ,8.3,7610.0,14.8,771955,93449,58.7
001420,태원물산,KOSPI,8.0,2010.0,-22.4,252780,31520,5.1
285130,SK케미칼,KOSPI,7.4,50000.0,14.0,340008,46008,170.0
023790,동일스틸럭스,KOSDAQ,7.2,1546.0,11.3,1704886,237505,26.4
0004V0,엔비알모션,KOSDAQ,7.2,6960.0,12.4,1270123,176694,88.4
002680,한탑,KOSDAQ,7.2,2640.0,-10.7,745843,104015,19.7
277880,티에스아이,KOSDAQ,7.1,3635.0,7.9,277729,39057,10.1
123890,한국자산신탁,KOSPI,7.1,2405.0,5.3,839216,117902,20.2
123040,엠에스오토텍,KOSDAQ,7.0,1750.0,3.9,1627821,233440,28.5
027360,아주IB투자,KOSDAQ,6.6,4100.0,-10.6,16497910,2502907,676.4
080580,오킨스전자,KOSDAQ,6.5,16640.0,5.1,1729682,266792,287.8
092300,현우산업,KOSDAQ,6.5,2780.0,10.8,467002,72400,13.0
372170,윤성에프앤씨,KOSDAQ,6.5,23300.0,29.7,211628,32707,49.3
199550,레이저옵텍,KOSDAQ,6.4,2790.0,16.0,446246,69676,12.5
439260,대한조선,KOSPI,6.1,54700.0,5.6,327274,53471,179.0
100250,진양홀딩스,KOSPI,6.1,3185.0,6.7,307097,50200,9.8
004150,한솔홀딩스,KOSPI,6.0,3480.0,7.1,383607,63851,13.3
010690,화신,KOSPI,5.9,9070.0,3.2,1925705,324120,174.7
054220,비츠로시스,KOSDAQ,5.9,1875.0,4.9,519571,88643,9.7
253590,네오셈,KOSDAQ,5.8,11450.0,3.8,1941177,335061,222.3
015890,태경산업,KOSPI,5.6,4880.0,4.8,231349,41398,11.3
086820,바이오솔루션,KOSDAQ,5.6,6670.0,11.0,355963,63592,23.7
088350,한화생명,KOSPI,5.5,5630.0,11.9,14390560,2621348,810.2
126640,화신정공,KOSDAQ,5.5,4415.0,6.4,5762541,1055040,254.4
469610,이노테크,KOSDAQ,5.4,17980.0,1.4,411417,76526,74.0
263020,디케이앤디,KOSDAQ,5.3,3245.0,5.0,249378,46644,8.1
466100,클로봇,KOSDAQ,5.3,32700.0,13.7,2753783,518401,900.5
381970,케이카,KOSPI,5.1,7760.0,0.6,313583,61384,24.3
005960,동부건설,KOSPI,5.1,8280.0,8.5,159106,31229,13.2
013570,디와이,KOSPI,5.0,4510.0,6.5,250300,50275,11.3
459550,알트,KOSDAQ,5.0,2575.0,30.0,24120198,4872603,621.1
018000,유니슨,KOSDAQ,4.9,1000.0,15.5,10249031,2109091,102.5
122350,삼기,KOSDAQ,4.8,1667.0,3.6,11958352,2497255,199.3
001230,동국홀딩스,KOSPI,4.8,1951.0,4.6,2041411,428634,39.8
104480,티케이케미칼,KOSDAQ,4.8,1770.0,9.5,1239051,259103,21.9
002820,SUN&L,KOSPI,4.8,1496.0,-12.9,362268,76149,5.4
101730,위메이드맥스,KOSDAQ,4.8,4460.0,3.4,705947,146730,31.5
007340,DN오토모티브,KOSPI,4.8,58900.0,19.1,899436,187654,529.8
012210,삼미금속,KOSDAQ,4.7,7920.0,-3.5,244414,51817,19.4
419080,엔젯,KOSDAQ,4.6,6400.0,10.3,228978,50260,14.7
333430,일승,KOSDAQ,4.5,4190.0,0.1,2336340,525006,97.9
094970,제이엠티,KOSDAQ,4.5,2900.0,-9.1,483172,107956,14.0
332570,PS일렉트로닉스,KOSDAQ,4.5,10540.0,-5.6,11703459,2585171,1233.5
382800,지앤비에스 에코,KOSDAQ,4.4,6280.0,5.7,2370948,540110,148.9
006200,한국전자홀딩스,KOSPI,4.2,1887.0,-9.3,286821,68589,5.4
033230,인성정보,KOSDAQ,4.1,1060.0,9.4,540408,133210,5.7
105840,우진,KOSPI,3.9,14430.0,-5.4,474274,122550,68.4
240550,동방메디컬,KOSDAQ,3.9,6650.0,-0.6,271246,70116,18.0
056080,유진로봇,KOSDAQ,3.9,14000.0,3.0,1199143,310601,167.9
000490,대동,KOSPI,3.8,8300.0,-2.1,1172361,309567,97.3
217190,제너셈,KOSDAQ,3.7,6000.0,2.4,187957,51462,11.3
006910,보성파워텍,KOSDAQ,3.7,7910.0,0.8,3187188,864337,252.1
064820,케이프,KOSDAQ,3.6,8620.0,-4.0,270169,74968,23.3
257720,실리콘투,KOSDAQ,3.6,42850.0,5.0,2550832,700629,1093.0
452280,한선엔지니어링,KOSDAQ,3.6,12250.0,-13.0,695165,195168,85.2
078590,휴림에이텍,KOSDAQ,3.6,3455.0,1.5,911169,251243,31.5
128660,피제이메탈,KOSDAQ,3.6,2990.0,-1.8,242533,68305,7.3
003350,한국화장품제조,KOSPI,3.6,11520.0,0.3,1337911,370509,154.1
348340,뉴로메카,KOSDAQ,3.5,23600.0,10.3,1115092,315458,263.2
014530,극동유화,KOSPI,3.5,3260.0,3.7,186000,53592,6.1
098120,마이크로컨텍솔,KOSDAQ,3.5,29100.0,3.0,210397,59851,61.2
035460,기산텔레콤,KOSDAQ,3.5,2560.0,8.0,390630,110950,10.0
019210,와이지-원,KOSDAQ,3.5,18210.0,9.5,2027533,582154,369.2
000370,한화손해보험,KOSPI,3.4,6990.0,9.0,1106924,328347,77.4
033160,엠케이전자,KOSDAQ,3.4,15800.0,-12.0,3870507,1134564,611.5
