ticker,date,o,h,l,c,v,prev_close,base_vol,gap_%,oc_%,prior_dollar_M
AAOG,2026-06-02,15.19,16.55,14.1045,16.135,693943.890321,13.6599,387197.199284,11.201399717421058,6.221198156682042,5.289075022499511
AAOG,2026-06-08,12.92,15.2,11.8,14.34,1240915.997779,11.71,693943.890321,10.333048676344996,10.990712074303405,8.12608295565891
AAOG,2026-06-10,10.59,11.97,9.9901,10.84,2568686.70025,9.4599,777212.710514,11.946215076269311,2.3607176581680833,7.352354520191388
AAOG,2026-06-15,11.19,13.1,11.0,12.73,2018661.65712,10.0301,1354603.580904,11.564191782733975,13.762287756925836,13.58680937682521
ABAT,2026-06-08,4.0,4.25,3.3603,3.8,67703657.912929,3.11,7028565.549295,28.617363344051448,-5.000000000000004,21.858838858307447
ABTS,2026-06-05,2.48,2.48,1.95,1.99,385061.651437,2.18,1758620.090231,13.761467889908246,-19.758064516129032,3.83379179670358
ADUR,2026-06-09,15.99,17.91,15.6401,16.88,1625503.016273,14.4,572494.31944,11.041666666666664,5.565978736710436,8.243918199936
AIIO,2026-06-01,3.04,3.4,2.88,2.92,39019716.419817,2.37,3577101.9846535,28.27004219409282,-3.947368421052635,8.477731703628795
AIM,2026-06-01,0.5549,1.25,0.482,0.8986,359965953.586926,0.4078,49062728.622394994,36.0716037273173,61.93908812398631,20.007780732212677
AIM,2026-06-08,0.6165,0.66,0.5,0.5189,68569820.015167,0.5158,25329315.382994,19.52307095773556,-15.83130575831306,13.064860874548307
ALDX,2026-06-08,1.83,1.965,1.73,1.74,1788396.169839,1.63,981456.633914,12.26993865030676,-4.91803278688525,1.59977431327982
AMAU,2026-06-11,19.9,22.315,19.73,22.13,204195.294096,18.07,153178.04398,10.127282789153282,11.206030150753772,2.7679272547186
AMKL,2026-06-08,17.11,17.34,16.3001,17.07,52259.698743,15.48,102020.4337,10.529715762273895,-0.23378141437755204,1.579276313676
AMPU,2026-06-15,9.2,9.2,8.6,8.83,92098.971266,8.35,199258.03567,10.17964071856287,-4.021739130434774,1.6638045978445002
APLZ,2026-06-05,16.91,19.85,16.79,18.63,263202.224367,15.36,430957.606088,10.09114583333334,10.171496156120632,6.6195088295116795
ARTV,2026-05-29,8.42,8.42,7.44,7.93,707580.187762,7.61,309227.858488,10.643889618922465,-5.819477434679338,2.35322400309368
ASAN,2026-05-29,7.4,7.95,7.0,7.7,19011229.572489,6.66,5565201.032227,11.111111111111114,4.054054054054052,37.06423887463182
ASTC,2026-06-15,21.0,21.0,15.73,16.91,578947.433065,19.01,1018941.104817,10.468174644923716,-19.476190476190474,19.370070402571173
ASTN,2026-05-29,4.1,4.51,4.02,4.12,25843650.699498,3.2,20266051.014939,28.124999999999982,0.48780487804879175,64.8513632478048
