date,ticker,entry,win_end,oc_%,hi_%,tp_hit,stop_hit,net_%
2026-06-17,FTHM,1.01,1.0398,3.0,24.6,1,1,-10.5
2026-06-17,NIVF,0.92,0.9192,-0.1,31.5,1,0,7.5
2026-06-17,CRE,4.11,4.15,1.0,17.0,1,0,7.5
2026-06-17,OBAI,1.31,1.2502,-4.6,7.6,0,1,-10.5
2026-06-17,ELTX,3.209,3.2101,0.0,15.6,1,1,-10.5
2026-06-17,MCRP,2.28,2.28,0.0,23.2,1,0,7.5
2026-06-17,CREG,2.24,2.2306,-0.4,12.9,1,1,-10.5
2026-06-18,LNKS,2.796,2.8099,0.5,28.4,1,0,7.5
2026-06-18,SPRO,2.47,2.45,-0.8,5.3,0,0,-3.3
2026-06-18,BIRD,6.35,6.1997,-2.4,5.4,0,1,-10.5
2026-06-18,ATPC,3.1,3.2,3.2,13.9,1,0,7.5
2026-06-18,OBAI,1.12,1.0702,-4.4,5.4,0,1,-10.5
2026-06-18,NEOV,2.25,2.2196,-1.4,1.8,0,0,-3.9
