ticker,date,ratio,prior7_%,fwd_oc_%,fwd_cc_%,fwd_oc_net_%
ABAT,2026-06-08,10.1,0.3,-13.3,-14.7,-15.8
ABTS,2026-06-02,214.2,202.7,-14.9,-20.2,-17.4
ABTS,2026-06-03,15.6,139.5,13.5,5.8,11.0
ACTU,2026-06-12,18.4,11.0,-4.2,1.5,-6.7
ADCT,2026-06-04,19.3,-62.4,-24.3,-22.0,-26.8
ADCT,2026-06-05,10.3,-70.0,-8.6,-5.1,-11.1
ADCT,2026-06-08,10.2,-71.7,13.4,12.5,10.9
ADIL,2026-05-19,23.6,44.1,13.5,14.1,11.0
ADTX,2026-05-22,32.2,-77.4,-24.6,-50.6,-27.1
AEHL,2026-05-11,533.1,181.5,72.2,47.6,69.7
AEHL,2026-05-12,494.2,315.4,19.7,71.6,17.2
AEMD,2026-05-26,65.3,14.5,8.5,25.3,6.0
AEMD,2026-05-27,61.0,46.2,14.0,-4.2,11.5
AGAE,2026-05-22,34.1,57.8,1.6,4.5,-0.9
AGMH,2026-06-09,63.4,-11.3,-2.7,-12.8,-5.2
AGMH,2026-06-10,14.3,-18.0,11.0,11.0,8.5
AHMA,2026-06-09,644.4,22.5,13.6,2.0,11.1
AHMA,2026-06-10,11.9,19.0,0.7,-6.7,-1.8
AHMA,2026-06-15,109.4,82.1,-10.5,39.4,-13.0
AIB,2026-05-18,13.1,53.0,0.6,-2.8,-1.9
AIDX,2026-05-22,144.2,-30.0,-6.4,4.1,-8.9
AIDX,2026-06-15,61.0,-31.5,-4.1,-3.5,-6.6
AIFF,2026-06-02,18.2,4.1,-6.8,-7.3,-9.3
AIIO,2026-05-11,123.0,80.8,-10.5,13.3,-13.0
AIM,2026-05-18,529.8,-27.1,12.1,0.7,9.6
AIM,2026-05-19,14.7,21.6,-32.2,-38.4,-34.7
AIM,2026-05-27,50.2,58.5,27.8,8.7,25.3
AIM,2026-06-01,38.2,255.0,3.0,-8.0,0.5
AIRJW,2026-06-01,15.4,69.0,0.0,8.3,-2.5
ALF,2026-05-29,21.3,-0.3,0.0,0.0,-2.5
ALP,2026-05-14,26.0,35.2,-4.1,0.0,-6.6
AMAN,2026-06-05,18.4,-0.6,-0.8,0.2,-3.3
AMIX,2026-05-20,46.5,0.3,22.2,18.6,19.7
AMS,2026-06-09,11.2,2.7,-0.7,-2.0,-3.2
