ticker,c,oc_%,vol_ratio,dol_M,dol_avg10_M,dol_x,run2d_%,close_pos,매수참고,손절,익절목표
MGRX,0.5571,-13.1,1042.0,285.3,2.6,108.2,0.8,0.06,0.557,0.501,0.613
RDTL,12.12,-11.9,15.5,85.1,11.6,7.4,-42.0,0.33,12.12,10.563,13.332
MYGN,2.86,-7.7,13.0,43.4,5.6,7.7,-43.3,0.11,2.86,2.726,3.146
KPTI,1.92,-12.3,32.9,43.0,8.6,5.0,-72.0,0.19,1.92,1.746,2.112
UPC,3.16,-9.2,271.4,37.4,0.2,181.9,-2.9,0.0,3.16,3.065,3.476
ZEO,0.5006,-7.2,1891.1,19.8,0.0,1125.9,-2.4,0.05,0.501,0.456,0.551
GCTK,0.477,-14.9,27.6,9.4,30.6,0.3,67.4,0.26,0.477,0.407,0.525
AMZO,12.74,-7.5,90.8,8.3,0.7,12.1,-35.8,0.15,12.74,12.125,14.014
AZIO,1.43,-8.9,38.0,5.4,0.2,24.5,-8.3,0.37,1.43,1.194,1.573
CUPR,2.92,-11.0,59.1,2.3,0.0,46.8,-9.0,0.13,2.92,2.425,3.212
