ticker,ratio,latest_close,candle_signal,candle_pos,close_pos,intraday_chg_%
HLP,245.3,0.531,매수관심,수횡파,0.63,11.4
PRFX,187.9,2.49,강한매수,전고점돌파,0.44,83.1
RGNT,41.4,9.4,강한매수,전고점돌파,0.56,452.9
HQ,36.0,17.82,강한매수,전고점돌파,0.97,53.4
UBXG,25.2,9.7,매수관심,완만한상승,0.51,16.2
FA,22.1,16.99,강한매수,전고점돌파,0.66,1.3
SABS,17.1,3.9,강한매수,전고점돌파,0.61,11.1
QTEX,10.9,2.2,강한매수,전고점돌파,0.64,43.8
VSME,9.6,3.25,매수관심,완만한상승,0.54,17.8
YDKG,9.1,1.01,강한매수,전고점돌파,0.86,14.4
PAYO,8.6,7.03,매수관심,전고점돌파,0.69,0.1
MRNY,6.3,15.94,강한매수,완만한상승,0.94,1.3
ARQQ,5.7,17.92,강한매수,전고점돌파,0.83,24.7
QNC,5.5,3.38,강한매수,전고점돌파,0.88,9.0
SMWB,4.8,5.25,강한매수,전고점돌파,0.76,10.1
