signal_date,trade_date,ticker,candle_signal,candle_pos,open,close,oc_%,hi_%,lo_%,net_%
2026-06-15,2026-06-16,HLP,매수관심,수횡파,0.5117,0.4808,-6.0,0.0,-12.1,-8.5
2026-06-15,2026-06-16,PRFX,강한매수,전고점돌파,1.68,1.84,9.5,20.2,-10.4,7.0
2026-06-15,2026-06-16,RGNT,강한매수,전고점돌파,7.9,6.1,-22.8,10.1,-22.8,-25.3
2026-06-15,2026-06-16,HQ,강한매수,전고점돌파,17.46,18.7,7.1,12.9,-1.7,4.6
2026-06-15,2026-06-16,UBXG,매수관심,완만한상승,9.81,9.7,-1.1,31.3,-10.0,-3.6
2026-06-15,2026-06-16,FA,강한매수,전고점돌파,16.91,16.71,-1.2,1.8,-3.7,-3.7
2026-06-15,2026-06-16,SABS,강한매수,전고점돌파,3.91,3.66,-6.4,2.6,-6.4,-8.9
2026-06-15,2026-06-16,QTEX,강한매수,전고점돌파,2.2,2.08,-5.5,5.0,-10.9,-8.0
2026-06-15,2026-06-16,VSME,매수관심,완만한상승,2.17,2.75,26.7,33.6,0.0,24.2
2026-06-15,2026-06-16,YDKG,강한매수,전고점돌파,0.96,0.963,0.3,1.8,-5.7,-2.2
2026-06-15,2026-06-16,PAYO,매수관심,전고점돌파,7.03,7.02,-0.1,0.1,-0.3,-2.6
2026-06-15,2026-06-16,MRNY,강한매수,완만한상승,16.01,16.72,4.4,8.1,-0.5,1.9
2026-06-15,2026-06-16,ARQQ,강한매수,전고점돌파,17.38,19.94,14.7,18.1,-2.2,12.2
2026-06-15,2026-06-16,QNC,강한매수,전고점돌파,3.36,3.34,-0.6,0.9,-4.4,-3.1
2026-06-15,2026-06-16,SMWB,강한매수,전고점돌파,5.18,5.05,-2.5,3.8,-3.9,-5.0
