rec_date,code,name,market,entry,stop,grade,score,surge,signals
2026-08-14,351320,넥사다이내믹스,KOSDAQ,1146,1067,A,75.1,8.7,"양봉스프링, 작은몸통양꼬리양봉, 상승다람쥐"
2026-08-14,014280,금강공업,KOSPI,4480,4092,B,68.0,28.6,"위꼬리양봉, 작은몸통양꼬리양봉"
2026-08-14,033320,제이씨현시스템,KOSDAQ,3170,2955,B,66.7,9.3,"작은몸통양꼬리양봉, 꼬리군"
2026-08-14,227950,엔투텍,KOSDAQ,1391,1241,B,65.0,40.6,위꼬리양봉
2026-08-14,092300,현우산업,KOSDAQ,2780,2494,B,64.4,6.5,"양봉스프링, 위꼬리양봉"
2026-08-14,053700,삼보모터스,KOSDAQ,4570,4023,B,62.4,30.4,위꼬리양봉
2026-08-14,015890,태경산업,KOSPI,4880,4537,B,62.2,5.6,양봉스프링
2026-08-14,104480,티케이케미칼,KOSDAQ,1770,1686,B,62.1,4.8,"작은몸통양꼬리양봉, 위꼬리양봉"
2026-09-04,071090,하이스틸,KOSPI,3125,3009,B,66.9,18.0,꼬리군
2026-09-04,057680,티사이언티픽,KOSDAQ,1960,1646,B,64.7,18.2,"작은몸통양꼬리양봉, 상승다람쥐"
2026-09-04,023790,동일스틸럭스,KOSDAQ,1447,1335,B,61.4,26.9,작은몸통양꼬리양봉
2026-09-04,015590,DKME,KOSPI,1492,1323,C,59.4,23.4,위꼬리양봉
2026-09-04,323410,카카오뱅크,KOSPI,21950,21217,C,56.8,0.9,"작은몸통양꼬리양봉, 상승다람쥐"
2026-09-04,261780,아리바이오랩,KOSDAQ,2635,2386,C,55.7,2.4,"작은몸통양꼬리양봉, 상승펀치"
