ticker,ratio,latest_close,latest_volume,baseline_volume,dollar_volume_M,avg_dollar_vol_10d_M,dollar_surge_x,intraday_chg_%,candle_signal,candle_shape,candle_pos,close_pos,candle_score,latest_date
EHGO,2198.8,2.89,113068763,51422,326.77,0.27,1223.6,-39.9,중립,음봉,전고점돌파,0.12,0.34,2026-06-17
ICCM,1266.1,6.4,152922485,120779,978.7,0.39,2479.4,51.3,강한매수,양봉,전고점돌파,0.47,2.16,2026-06-17
OBAI,428.0,1.03,135958790,317674,140.04,55.59,2.5,-28.2,매도주의,장대음봉,잔구간,0.11,-1.235,2026-06-17
FTHM,312.6,1.11,74581777,238622,82.79,0.98,84.8,5.2,중립,위꼬리양봉,전고점돌파,0.24,0.19,2026-06-17
YMAT,304.0,0.75,171878059,565463,128.91,4.91,26.2,17.4,중립,위꼬리양봉,잔구간,0.47,-0.52,2026-06-17
CLWT,249.5,1.57,78755072,315632,123.65,3.29,37.6,-36.2,매도주의,장대음봉,전고점돌파,0.03,-1.06,2026-06-17
ELTX,230.9,4.71,51120414,221442,240.78,6.66,36.2,49.3,매수관심,양봉,완만한상승,0.49,1.59,2026-06-17
MCRP,181.5,1.73,13459064,74153,23.28,1.8,12.9,-26.4,강한매도,장대음봉,전저점이탈,0.12,-3.21,2026-06-17
BIRD,180.6,5.48,47781449,264589,261.84,1.04,252.0,42.7,강한매수,양봉,전고점돌파,0.54,2.25,2026-06-17
INLF,152.7,0.437,62823294,411507,27.48,1.09,25.3,-88.2,강한매도,장대음봉,전저점이탈,0.02,-3.33,2026-06-17
LNKS,84.2,1.6,11497114,136518,18.4,0.37,49.5,-2.4,매도주의,위꼬리음봉,잔구간,0.22,-0.92,2026-06-17
EZGO,71.8,1.65,16033407,223286,26.46,2.87,9.2,17.9,중립,양봉,잔구간,0.47,0.33,2026-06-17
NIVF,65.9,0.8,55454667,841910,44.36,9.24,4.8,-23.8,매도주의,장대음봉,완만한상승,0.27,-1.38,2026-06-17
VIVK,65.6,0.51,82465467,1256623,42.06,4.1,10.3,-27.6,매도주의,장대음봉,잔구간,0.01,-1.295,2026-06-17
NEOV,55.5,2.12,39878741,718638,84.54,1.8,46.9,8.2,중립,양봉,잔구간,0.76,0.505,2026-06-17
TGE,51.6,1.08,8856634,171529,9.57,0.8,11.9,-8.5,중립,음봉,완만한상승,0.23,-0.12,2026-06-17
SNBR,49.6,0.39,911600858,18375875,355.52,22.53,15.8,123.4,중립,양봉,잔구간,0.39,0.285,2026-06-17
