ticker,ratio,latest_close,latest_volume,baseline_volume,dollar_volume_M,avg_dollar_vol_10d_M,dollar_surge_x,signal_gap_%,intraday_chg_%,candle_signal,candle_shape,candle_pos,close_pos,candle_score,latest_date
TRUG,783.1,1.09,39582795,50547,43.15,10.35,4.2,11.0,-36.3,매도주의,장대음봉,잔구간,0.05,-1.27,2026-08-18
XOS,425.1,4.44,110132708,259049,488.99,7.13,68.6,116.7,-2.0,매수관심,팽이도지,전고점돌파,0.46,1.45,2026-08-18
BIAF,400.9,0.473,170147099,424440,80.53,0.17,460.2,35.7,-11.1,중립,음봉,잔구간,0.28,-0.48,2026-08-18
TNON,186.6,5.45,11428134,61250,62.28,0.72,87.1,3.5,7.1,매수관심,양봉,완만한상승,0.51,1.61,2026-08-18
SGLY,137.6,3.49,13334858,96906,46.54,1.71,27.2,50.3,-48.3,강한매도,장대음봉,전저점이탈,0.06,-3.28,2026-08-18
CAST,123.5,2.1,154052780,1247037,323.51,1.3,249.6,0.0,144.2,강한매수,장대양봉,전고점돌파,0.86,3.93,2026-08-18
OSRH,73.3,0.43,146884107,2004660,63.16,22.16,2.9,9.0,-33.1,중립,음봉,잔구간,0.14,-0.565,2026-08-18
IVF,66.7,1.43,3799533,56961,5.43,18.44,0.3,2.0,-8.3,중립,음봉,잔구간,0.35,-0.44,2026-08-18
MSS,59.6,1.57,10490392,175907,16.47,0.39,42.5,-2.1,9.8,강한매수,양봉,전고점돌파,0.67,2.4,2026-08-18
CDTG,56.0,3.29,37465850,668606,123.26,2.64,46.7,5.0,11.9,강한매도,위꼬리양봉,전고점부근,0.14,-2.88,2026-08-18
SAGT,52.5,0.781,18541500,353034,14.48,0.61,23.9,3.1,16.8,중립,양봉,잔구간,0.51,0.355,2026-08-18
GNPX,38.5,3.95,4292444,111375,16.96,0.77,22.0,-5.3,-6.8,강한매도,위꼬리음봉,전저점이탈,0.12,-2.71,2026-08-18
SXTC,37.9,5.13,13226088,348856,67.85,11.29,6.0,27.7,7.1,강한매수,양봉,전고점돌파,0.69,2.43,2026-08-18
WEAV,31.5,7.28,49373160,1568811,359.44,9.04,39.8,31.8,-0.1,중립,위꼬리음봉,전고점돌파,0.0,-0.6,2026-08-18
HCWB,22.8,2.13,1237428,54227,2.64,0.18,14.7,0.0,-15.5,매도주의,음봉,전저점이탈,0.08,-1.95,2026-08-18
JAB,18.3,9.94,1884351,102744,18.73,4.91,3.8,0.0,0.1,강한매수,양봉,전고점돌파,0.75,2.5,2026-08-18
WFF,18.1,2.22,25878056,1427310,57.45,25.95,2.2,23.5,-11.0,중립,음봉,완만한상승,0.09,-0.29,2026-08-18
BRBS,16.8,3.96,4002058,238882,15.85,3.52,4.5,1.0,-2.0,매도주의,장대음봉,잔구간,0.11,-1.235,2026-08-18
CMND,15.8,1.96,835580,52864,1.64,0.15,11.2,-0.5,4.3,강한매도,위꼬리양봉,전고점부근,0.26,-2.74,2026-08-18
FCUV,14.0,7.795,970750,69566,7.57,3.04,2.5,0.8,19.2,강한매수,양봉,전고점돌파,0.37,2.04,2026-08-18
VOGX,13.1,19.75,776165,59125,15.33,2.77,5.5,18.3,6.0,강한매수,양봉,전고점돌파,0.9,2.68,2026-08-18
