signal_date,trade_date,ticker,open,close,oc_%,hi_%,lo_%,tp_hit,stop_hit,net_%
2026-06-15,2026-06-16,ELTX,4.08,2.76,-32.4,0.0,-34.8,0,1,-10.5
2026-06-15,2026-06-16,DXST,2.75,3.03,10.2,16.4,-4.4,1,0,7.5
2026-06-15,2026-06-16,SLXN,2.51,2.71,8.0,10.6,-7.2,1,0,7.5
2026-06-16,2026-06-17,AHMA,2.85,2.51,-11.9,11.6,-15.1,1,1,-10.5
2026-06-17,2026-06-18,CLPT,17.7,17.77,0.4,6.5,-4.6,0,0,-2.1
2026-06-17,2026-06-18,UTSI,2.53,2.64,4.3,13.4,-1.2,1,0,7.5
2026-06-17,2026-06-18,CRVO,4.68,4.24,-9.4,66.9,-17.9,1,1,-10.5
2026-06-17,2026-06-18,TGE,1.04,1.24,19.2,23.1,-1.9,1,0,7.5
2026-06-22,2026-06-23,TNON,0.44,0.4628,5.2,13.6,-5.1,1,0,7.5
2026-06-23,2026-06-24,AIXI,2.77,2.39,-13.7,1.1,-16.6,0,1,-10.5
2026-06-23,2026-06-24,NXTS,5.91,5.93,0.3,8.8,-6.1,0,0,-2.2
2026-06-23,2026-06-24,MNDR,0.4449,0.4701,5.7,9.0,-10.1,0,1,-10.5
2026-06-24,2026-06-25,CCXI,12.51,12.44,-0.6,3.9,-1.7,0,0,-3.1
2026-06-25,2026-06-26,WEN,7.26,7.8,7.4,13.6,-0.6,1,0,7.5
2026-06-26,2026-06-29,QUCY,1.58,1.6,1.3,5.7,-7.0,0,0,-1.2
2026-06-26,2026-06-29,ZDAI,1.94,2.11,8.8,12.9,-8.8,1,1,-10.5
2026-06-29,2026-06-30,NNBR,3.65,3.59,-1.6,9.6,-3.8,0,0,-4.1
2026-06-29,2026-06-30,EVMN,14.76,13.29,-10.0,1.6,-10.7,0,1,-10.5
2026-06-29,2026-06-30,BTCT,1.11,0.8234,-25.8,0.0,-28.7,0,1,-10.5
2026-06-30,2026-07-01,CTGG,17.25,17.2,-0.3,0.0,-1.2,0,0,-2.8
2026-06-30,2026-07-01,DGNX,1.17,1.28,9.4,15.2,-5.1,1,0,7.5
2026-07-01,2026-07-02,TC,3.5,2.93,-16.3,0.0,-22.0,0,1,-10.5
2026-07-01,2026-07-02,CANF,4.34,3.91,-9.9,6.0,-19.4,0,1,-10.5
2026-07-06,2026-07-07,SPHL,2.92,3.31,13.4,15.8,-2.5,1,0,7.5
2026-07-06,2026-07-07,BJDX,1.53,1.45,-5.2,17.6,-17.6,1,1,-10.5
2026-07-07,2026-07-08,BJDX,1.48,1.34,-9.5,0.0,-18.9,0,1,-10.5
2026-07-08,2026-07-09,CLRO,10.85,9.65,-11.1,14.2,-11.1,1,1,-10.5
2026-07-08,2026-07-09,TPET,0.29,0.311,7.2,7.2,-2.9,0,0,4.7
2026-07-09,2026-07-10,TVRD,3.84,3.28,-14.6,1.2,-15.6,0,1,-10.5
2026-07-09,2026-07-10,TPTS,19.24,17.29,-10.1,10.0,-10.1,1,1,-10.5
