signal_date,trade_date,ticker,entry_0530,exit_0930,ret_%,net_%
2026-06-15,2026-06-16,ELTX,4.08,4.08,-0.0,-1.0
2026-06-15,2026-06-16,DXST,2.5724,2.75,6.9,5.9
2026-06-15,2026-06-16,SLXN,2.56,2.5802,0.79,-0.21
2026-06-16,2026-06-17,AHMA,2.7224,2.85,4.69,3.69
2026-06-16,2026-06-17,NIVF,1.21,1.05,-13.22,-14.22
2026-06-16,2026-06-17,BEEM,1.2603,1.31,3.94,2.94
2026-06-16,2026-06-17,WNW,3.4984,3.61,3.19,2.19
2026-06-16,2026-06-17,SNWV,8.59,8.62,0.35,-0.65
2026-06-17,2026-06-18,CLPT,17.55,17.59,0.23,-0.77
2026-06-17,2026-06-18,UTSI,2.55,2.53,-0.78,-1.78
2026-06-17,2026-06-18,CRVO,3.82,4.68,22.51,21.51
2026-06-17,2026-06-18,TGE,1.1,1.04,-5.45,-6.45
2026-06-17,2026-06-18,CNTX,0.5802,0.6124,5.55,4.55
2026-06-22,2026-06-23,TNON,0.4421,0.44,-0.48,-1.48
2026-06-22,2026-06-23,CRMT,2.72,2.89,6.25,5.25
2026-06-22,2026-06-23,BIRD,5.3813,5.26,-2.25,-3.25
2026-06-22,2026-06-23,ECX,0.9529,0.9989,4.83,3.83
2026-06-22,2026-06-23,SUGP,0.9433,0.92,-2.47,-3.47
2026-06-23,2026-06-24,AIXI,2.82,2.77,-1.77,-2.77
2026-06-23,2026-06-24,NXTS,6.0012,5.9,-1.69,-2.69
2026-06-23,2026-06-24,MNDR,0.4684,0.44,-6.06,-7.06
2026-06-23,2026-06-24,JFIN,2.78,2.768,-0.43,-1.43
