date,ticker,prev_close,o,c,gap_%,oc_%,total_%,close_pos,vol_ratio,dollar_M
2026-06-09,YOUL,0.337,0.388,1.03,15.2,165.6,205.9,0.71,316.8,41.8
2026-06-02,LASE,0.928,1.205,2.42,29.9,100.8,160.9,0.96,325.3,694.6
2026-06-01,HKIT,1.46,3.195,6.58,118.8,105.9,350.7,0.62,825.4,595.2
2026-06-02,STAK,0.975,1.2,1.9,23.1,58.3,94.9,0.75,230.6,62.7
2026-06-02,RKTO,1.34,1.485,2.22,10.8,49.5,65.7,0.78,1.6,86.9
2026-06-10,HXHX,0.508,0.589,0.88,15.9,49.4,73.3,0.68,113.0,30.5
2026-06-15,QTEX,1.29,1.53,2.2,18.6,43.8,70.5,0.64,8.4,269.0
2026-06-03,FOFO,4.01,4.86,6.59,21.2,35.6,64.3,0.74,7.5,20.5
2026-06-01,WALD,1.23,1.38,1.83,12.2,32.6,48.8,0.8,48.5,19.8
2026-06-10,SMCZ,7.34,9.12,11.39,24.3,24.9,55.2,0.99,2.0,58.1
